BUBBLE SORT,1024,0.015625,520240,Sun Aug 16 20:42:50 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:50 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:50 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:50 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.015625,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.015625,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.015625,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.015625,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.000000,37995,Sun Aug 16 20:42:51 2020
BUBBLE SORT,1024,0.000000,520240,Sun Aug 16 20:42:51 2020
INSERTION SORT,1024,0.000000,258013,Sun Aug 16 20:42:51 2020
SELECTION SORT,1024,0.000000,524799,Sun Aug 16 20:42:51 2020
MERGE SORT,1024,0.000000,20480,Sun Aug 16 20:42:51 2020
QUICKSORT,1024,0.000000,10880,Sun Aug 16 20:42:51 2020
Radix Sort,1024,0.015625,37995,Sun Aug 16 20:42:51 2020


Test Summary: (N = 1024)
Sun Aug 16 20:42:51 2020

Bubble Sort Average MET,0.00520833333333333300
Bubble Sort Average TFC,520240.000000

Insertion Sort Average MET,0.00000000000000000000
Insertion Sort Average TFC,258013.000000

Selection Sort Average MET,0.00000000000000000000
Selection Sort Average TFC,524799.000000

Merge Sort Average MET,0.00130208333333333330
Merge Sort Average TFC,20480.000000

QuickSort Average MET,0.00000000000000000000
QuickSort Average TFC,10880.000000

Radix Sort Average MET,0.00130208333333333330
Radix Sort Average TFC,37995.000000


ITERATION END


BUBBLE SORT,2048,0.015625,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.015625,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.015625,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.015625,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.015625,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.015625,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.015625,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.015625,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.015625,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.015625,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.015625,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.000000,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020
BUBBLE SORT,2048,0.015625,2097356,Sun Aug 16 20:42:51 2020
INSERTION SORT,2048,0.000000,1038436,Sun Aug 16 20:42:51 2020
SELECTION SORT,2048,0.000000,2098175,Sun Aug 16 20:42:51 2020
MERGE SORT,2048,0.000000,45056,Sun Aug 16 20:42:51 2020
QUICKSORT,2048,0.000000,25930,Sun Aug 16 20:42:51 2020
Radix Sort,2048,0.000000,75883,Sun Aug 16 20:42:51 2020


Test Summary: (N = 2048)
Sun Aug 16 20:42:51 2020

Bubble Sort Average MET,0.01171875000000000000
Bubble Sort Average TFC,2617596.000000

Insertion Sort Average MET,0.00260416666666666650
Insertion Sort Average TFC,1296449.000000

Selection Sort Average MET,0.00520833333333333300
Selection Sort Average TFC,2622974.000000

Merge Sort Average MET,0.00130208333333333330
Merge Sort Average TFC,65536.000000

QuickSort Average MET,0.00000000000000000000
QuickSort Average TFC,36810.000000

Radix Sort Average MET,0.00260416666666666650
Radix Sort Average TFC,113878.000000


ITERATION END


BUBBLE SORT,4096,0.031250,8385403,Sun Aug 16 20:42:51 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:51 2020
SELECTION SORT,4096,0.031250,8390655,Sun Aug 16 20:42:51 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:51 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:51 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:51 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.015625,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.000000,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.031250,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.031250,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.000000,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.031250,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.000000,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:52 2020
INSERTION SORT,4096,0.015625,4254991,Sun Aug 16 20:42:52 2020
SELECTION SORT,4096,0.031250,8390655,Sun Aug 16 20:42:52 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:52 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:52 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:52 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:53 2020
INSERTION SORT,4096,0.000000,4254991,Sun Aug 16 20:42:53 2020
SELECTION SORT,4096,0.015625,8390655,Sun Aug 16 20:42:53 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:53 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:53 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:53 2020
BUBBLE SORT,4096,0.046875,8385403,Sun Aug 16 20:42:53 2020
INSERTION SORT,4096,0.000000,4254991,Sun Aug 16 20:42:53 2020
SELECTION SORT,4096,0.000000,8390655,Sun Aug 16 20:42:53 2020
MERGE SORT,4096,0.000000,98304,Sun Aug 16 20:42:53 2020
QUICKSORT,4096,0.000000,55935,Sun Aug 16 20:42:53 2020
Radix Sort,4096,0.000000,151659,Sun Aug 16 20:42:53 2020


Test Summary: (N = 4096)
Sun Aug 16 20:42:53 2020

Bubble Sort Average MET,0.05468750000000000000
Bubble Sort Average TFC,11002999.000000

Insertion Sort Average MET,0.01171875000000000000
Insertion Sort Average TFC,5551440.000000

Selection Sort Average MET,0.02343750000000000000
Selection Sort Average TFC,11013629.000000

Merge Sort Average MET,0.00130208333333333330
Merge Sort Average TFC,163840.000000

QuickSort Average MET,0.00000000000000000000
QuickSort Average TFC,92745.000000

Radix Sort Average MET,0.00390625000000000000
Radix Sort Average TFC,265537.000000


ITERATION END


BUBBLE SORT,8192,0.203125,33554063,Sun Aug 16 20:42:53 2020
INSERTION SORT,8192,0.046875,16724711,Sun Aug 16 20:42:53 2020
SELECTION SORT,8192,0.078125,33558527,Sun Aug 16 20:42:53 2020
MERGE SORT,8192,0.000000,212992,Sun Aug 16 20:42:53 2020
QUICKSORT,8192,0.000000,122260,Sun Aug 16 20:42:53 2020
Radix Sort,8192,0.000000,303211,Sun Aug 16 20:42:53 2020
BUBBLE SORT,8192,0.187500,33554063,Sun Aug 16 20:42:53 2020
INSERTION SORT,8192,0.046875,16724711,Sun Aug 16 20:42:53 2020
SELECTION SORT,8192,0.062500,33558527,Sun Aug 16 20:42:53 2020
MERGE SORT,8192,0.000000,212992,Sun Aug 16 20:42:53 2020
